session_id,csv_prefix,date,layout_id,subject_id,class,scenario,fall_dir,start_pose,spot_x_m,spot_y_m,n_events,occlusion_by_node,operator,lag_ms,verify_pass,notes
F029,,,L1,,FALL,낙상-후방-앉기,back,sit,,,4,,,300,,
F030,,,L1,,FALL,낙상-후방-걷다가,back,walk,,,4,,,300,,
F031,,,L1,,FALL,낙상-좌측-서기,left,stand,,,4,,,300,,
F032,,,L1,,FALL,낙상-좌측-앉기,left,sit,,,4,,,300,,
F033,,,L1,,FALL,낙상-좌측-걷다가,left,walk,,,4,,,300,,
F034,,,L1,,FALL,낙상-우측-서기,right,stand,,,4,,,300,,
F035,,,L1,,FALL,낙상-우측-앉기,right,sit,,,4,,,300,,
F036,,,L1,,FALL,낙상-우측-걷다가,right,walk,,,4,,,300,,
F037,,,L1,,FALL,낙상-전방-서기,front,stand,,,4,,,300,,
F038,,,L1,,FALL,낙상-전방-앉기,front,sit,,,4,,,300,,
F039,,,L1,,FALL,낙상-전방-걷다가,front,walk,,,4,,,300,,
F040,,,L1,,FALL,낙상-후방-서기,back,stand,,,4,,,300,,
F041,,,L1,,FALL,낙상-후방-앉기,back,sit,,,4,,,300,,
F042,,,L1,,FALL,낙상-후방-걷다가,back,walk,,,4,,,300,,
F043,,,L1,,FALL,낙상-좌측-서기,left,stand,,,4,,,300,,
F044,,,L1,,FALL,낙상-좌측-앉기,left,sit,,,4,,,300,,
F045,,,L1,,FALL,낙상-좌측-걷다가,left,walk,,,4,,,300,,
F046,,,L1,,FALL,낙상-우측-서기,right,stand,,,4,,,300,,
F047,,,L1,,FALL,낙상-우측-앉기,right,sit,,,4,,,300,,
F048,,,L1,,FALL,낙상-우측-걷다가,right,walk,,,4,,,300,,
F049,,,L1,,FALL,낙상-전방-서기,front,stand,,,4,,,300,,
F050,,,L1,,FALL,낙상-전방-앉기,front,sit,,,4,,,300,,
H051,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H052,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H053,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
H054,,,L1,,HARDNEG,눕기,,,,,4,,,300,,
H055,,,L1,,HARDNEG,쭈그려물건줍기,,,,,4,,,300,,
H056,,,L1,,HARDNEG,물건떨어뜨리기,,,,,4,,,300,,
H057,,,L1,,HARDNEG,비틀거리기,,,,,4,,,300,,
H058,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H059,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H060,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
H061,,,L1,,HARDNEG,눕기,,,,,4,,,300,,
H062,,,L1,,HARDNEG,쭈그려물건줍기,,,,,4,,,300,,
H063,,,L1,,HARDNEG,물건떨어뜨리기,,,,,4,,,300,,
H064,,,L1,,HARDNEG,비틀거리기,,,,,4,,,300,,
H065,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H066,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H067,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
H068,,,L1,,HARDNEG,눕기,,,,,4,,,300,,
H069,,,L1,,HARDNEG,쭈그려물건줍기,,,,,4,,,300,,
H070,,,L1,,HARDNEG,물건떨어뜨리기,,,,,4,,,300,,
H071,,,L1,,HARDNEG,비틀거리기,,,,,4,,,300,,
H072,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H073,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H074,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
H075,,,L1,,HARDNEG,눕기,,,,,4,,,300,,
H076,,,L1,,HARDNEG,쭈그려물건줍기,,,,,4,,,300,,
H077,,,L1,,HARDNEG,물건떨어뜨리기,,,,,4,,,300,,
H078,,,L1,,HARDNEG,비틀거리기,,,,,4,,,300,,
H079,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H080,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H081,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
H082,,,L1,,HARDNEG,눕기,,,,,4,,,300,,
H083,,,L1,,HARDNEG,쭈그려물건줍기,,,,,4,,,300,,
H084,,,L1,,HARDNEG,물건떨어뜨리기,,,,,4,,,300,,
H085,,,L1,,HARDNEG,비틀거리기,,,,,4,,,300,,
H086,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H087,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H088,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
H089,,,L1,,HARDNEG,눕기,,,,,4,,,300,,
H090,,,L1,,HARDNEG,쭈그려물건줍기,,,,,4,,,300,,
H091,,,L1,,HARDNEG,물건떨어뜨리기,,,,,4,,,300,,
H092,,,L1,,HARDNEG,비틀거리기,,,,,4,,,300,,
H093,,,L1,,HARDNEG,빠르게앉기-의자털썩,,,,,4,,,300,,
H094,,,L1,,HARDNEG,빠르게앉기-침대쓰러지듯,,,,,4,,,300,,
H095,,,L1,,HARDNEG,빠르게앉기-바닥주저앉기,,,,,4,,,300,,
